Symbol,Buy/Sell,Quantity,Price
TTT,Buy,290,1328.6
TQM,Buy,560,1049
GKH,Sell,40,1319.4
RRR,Buy,10,111
PDB,Buy,720,477
VVV,Sell,300,1401.7
AAA,Buy,450,1214.1
CCC,Sell,930,1224.6
RRR,Sell,360,112
YYY,Sell,840,62
DLH,Buy,910,176
PPP,Buy,320,953
KKK,Buy,650,1667.4
GGG,Sell,50,594
TTT,Sell,700,1330.8
GGG,Sell,260,578
MDU,Sell,610,1649
GKH,Sell,960,1353.4
AAA,Buy,80,1211.9
JJJ,Sell,510,736
TTT,Buy,210,1320.7
BBB,Sell,180,474
FFF,Buy,590,245
CCC,Buy,80,1255
DDD,Buy,40,1560.6
TTT,Buy,260,1320.6
YYY,Sell,180,62
TQM,Sell,270,1065.4
PDB,Sell,550,472
GKH,Buy,570,1337.3
AAA,Buy,640,1215.7
PDB,Buy,20,466
GKH,Sell,260,1346.2
KKK,Buy,580,1660.1
GKH,Buy,830,1319.3
HRT,Sell,930,910
EEE,Buy,960,1307.4
CCC,Buy,60,1239
MDU,Sell,470,1681.8
FVD,Sell,390,658
SSS,Sell,830,874
GKH,Buy,330,1338
GGG,Buy,190,586
HRT,Sell,640,917
NEH,Sell,750,522
HRT,Buy,710,925
GGG,Buy,960,591
TTT,Sell,530,1327.1
EEE,Buy,970,1322.9
EEE,Buy,690,1301.6
TTT,Buy,330,1322.7
FFF,Buy,590,247
PDB,Buy,570,463
SSS,Buy,530,875
TQM,Sell,650,1057.4
EEE,Sell,30,1300.5
YYY,Sell,600,63
PDB,Sell,930,471
YYY,Buy,560,61
PDB,Buy,240,462
TTT,Sell,140,1335.1
VVV,Sell,210,1399.1
NEH,Sell,370,508
VVV,Buy,640,1402.7
CCC,Sell,400,1253
BBB,Sell,530,469
VVV,Buy,730,1413.2
KKK,Sell,370,1670.2
GKH,Sell,860,1354.4
QQQ,Sell,720,1632.3
RRR,Sell,350,113
CCC,Sell,510,1227.8
SSS,Buy,130,879
PDB,Sell,440,468
TQM,Sell,370,1071
BBB,Buy,760,471
NEH,Buy,880,521
EEE,Sell,800,1326.1
GGG,Sell,580,587
FVD,Buy,140,660
HRT,Buy,550,918
EEE,Buy,930,1345.8
RRR,Sell,660,113
NNN,Buy,670,632
HRT,Sell,570,901
CCC,Buy,530,1218.2
FFF,Buy,160,245
AAA,Buy,240,1218.8
GKH,Sell,140,1314.8
TQM,Buy,850,1070.4
TTT,Buy,890,1336.7
EEE,Buy,520,1312.9
MMM,Sell,340,1684.7
FVD,Buy,270,657
FVD,Buy,770,656
TTT,Buy,480,1314.9
JJJ,Buy,760,727
EEE,Buy,430,1306.8
BBB,Sell,970,468
MMM,Sell,70,1696
FFF,Sell,900,240
EEE,Buy,190,1312.3
SSS,Sell,360,886
PPP,Buy,410,963
VVV,Sell,450,1377.5
PDB,Sell,450,456
AAA,Sell,500,1215.3
TQM,Buy,280,1045.7
RRR,Buy,120,114
RRR,Sell,620,114
TTT,Sell,850,1322.2
UUU,Sell,80,689
BBB,Buy,470,460
HRT,Sell,280,901
EEE,Buy,500,1339.1
BBB,Sell,700,468
GKH,Sell,740,1335.6
VVV,Buy,970,1419.2
FFF,Sell,800,249
PDB,Buy,260,467
FFF,Buy,780,246
CCC,Sell,650,1238.5
SSS,Buy,110,866
PDB,Sell,980,465
TTT,Buy,80,1339.7
DLH,Buy,580,175
VVV,Sell,560,1396.9
EEE,Sell,160,1337.5
NEH,Buy,930,519
FFF,Buy,230,248
DDD,Sell,250,1574.5
GKH,Sell,80,1343.7
HSW,Sell,90,1058.1
TQM,Buy,270,1060.4
AAA,Buy,100,1217.4
VVV,Sell,760,1390.3
UUU,Sell,350,683
VVV,Buy,180,1425.4
PDB,Sell,500,463
DDD,Sell,800,1547.8
PPP,Buy,890,940
NEH,Sell,990,510
BBB,Buy,940,467
PDB,Buy,520,465
PDB,Buy,830,474
GGG,Sell,590,585
AAA,Buy,100,1208.9
CCC,Buy,290,1241.7
CCC,Buy,640,1244.8
TQM,Buy,890,1057
CCC,Buy,340,1221.3
KKK,Buy,320,1686
GGG,Sell,490,594
VVV,Buy,380,1423.8
CGG,Sell,150,1426.7
AAA,Buy,130,1209.5
CCC,Buy,60,1242.5
NEH,Buy,110,511
EEE,Buy,560,1315.1
NEH,Sell,790,512
RRR,Sell,400,112
DLH,Buy,760,175
TQM,Buy,100,1051.7
EEE,Sell,270,1313.4
VVV,Sell,170,1401.6
TTT,Sell,400,1314.6
DLH,Sell,130,174
CCC,Sell,620,1221.3
TQM,Sell,950,1082.1
BBB,Buy,350,465
AAA,Sell,750,1209.2
HRT,Sell,770,922
EEE,Sell,210,1313.5
AAA,Buy,560,1201.8
GKH,Buy,240,1354.6
EEE,Sell,130,1307.2
FVD,Buy,230,667
PDB,Buy,150,466
VVV,Sell,680,1397.2
DLH,Sell,170,175
SSS,Sell,540,880
MMM,Sell,60,1676.9
GGG,Buy,370,596
FFF,Sell,930,246
DLH,Buy,150,173
EEE,Buy,840,1329.8
GGG,Buy,710,586
TTT,Buy,670,1314.1
VVV,Buy,790,1394.3
GKH,Sell,760,1355.5
BBB,Sell,750,468
DLH,Sell,370,175
CCC,Sell,720,1232.1
FFF,Buy,450,248
FFF,Sell,50,243
NEH,Buy,560,522
UUU,Sell,730,677
KKK,Sell,140,1648.5
KKK,Buy,510,1684.7
MDU,Sell,470,1633.9
MMM,Sell,610,1720.1
MMM,Sell,520,1701.7
FFF,Buy,350,240
MDU,Buy,230,1647.5
PPP,Sell,910,951
MDU,Buy,140,1627.6
MDU,Buy,430,1637.4
YYY,Sell,220,62
GKH,Buy,690,1308.7
TTT,Sell,530,1301.8
VVV,Sell,40,1413.2
TQM,Sell,710,1067.3
GGG,Buy,330,593
CCC,Sell,720,1236
XXX,Buy,20,1361.1
MDU,Sell,570,1673
TQM,Buy,920,1061.6
VVV,Buy,500,1390.9
TTT,Sell,660,1317.7
TTT,Buy,230,1325.7
SSS,Buy,570,884
QQQ,Sell,270,1638.2
NEH,Sell,250,517
SSS,Buy,130,891
NEH,Sell,570,514
TTT,Sell,40,1314.1
RRR,Sell,650,113
JJJ,Buy,10,735
VVV,Buy,470,1394
CCC,Buy,850,1234.6
BBB,Buy,130,459
KKK,Sell,350,1643
YYY,Buy,850,62
KKK,Sell,310,1662.4
PPP,Sell,330,949
EEE,Buy,650,1322.6
VVV,Sell,50,1427
BBB,Buy,590,465
TTT,Sell,800,1324.2
HRT,Sell,990,912
GKH,Sell,540,1330.2
NEH,Buy,130,508
MDU,Sell,700,1655.4
RRR,Sell,730,110
SSS,Sell,600,863
VVV,Sell,230,1408.9
TQM,Buy,440,1075
DLH,Buy,250,171
UUU,Buy,190,686
QQQ,Sell,840,1654.3
WWW,Sell,200,1512.4
GGG,Sell,140,596
UUU,Buy,800,694
KKK,Buy,390,1627.4
FFF,Buy,580,245
TTT,Sell,790,1313.6
VVV,Sell,710,1437.3
FFF,Sell,400,247
PDB,Buy,160,463
ZZZ,Sell,440,1694.2
CCC,Sell,80,1250.9
VVV,Buy,80,1408.2
MDU,Buy,870,1653.4
EEE,Buy,300,1315.8
FFF,Sell,680,245
TTT,Buy,670,1342.3
BBB,Sell,840,467
FFF,Buy,650,249
PDB,Sell,730,464
TQM,Buy,180,1070.4
FFF,Buy,130,245
WWW,Sell,520,1501.8
GKH,Buy,880,1325.1
GGG,Sell,860,591
MDU,Sell,70,1635.9
TQM,Buy,480,1063.4
BBB,Sell,870,466
GKH,Sell,420,1355.6
ZZZ,Sell,600,1677.2
MMM,Buy,500,1680.1
TTT,Buy,220,1328.4
MMM,Sell,800,1701.3
FFF,Sell,170,246
GGG,Buy,290,591
MMM,Buy,460,1682.3
GKH,Buy,160,1345.1
CCC,Buy,470,1218.1
BBB,Buy,970,471
YYY,Buy,600,61
SSS,Buy,800,881
FFF,Buy,540,244
GKH,Buy,410,1319.7
GKH,Sell,870,1362.7
AAA,Sell,830,1230.8
PDB,Sell,730,465
BBB,Sell,910,464
DLH,Buy,960,173
MDU,Sell,70,1627
YYY,Buy,870,62
HRT,Buy,190,906
FFF,Sell,530,244
KKK,Buy,950,1684.6
CCC,Buy,10,1245.4
BBB,Buy,520,464
CCC,Buy,770,1227.6
MMM,Buy,950,1664.4
PDB,Buy,180,460
GGG,Sell,240,593
CCC,Sell,460,1240.2
PDB,Sell,890,463
TQM,Sell,500,1065.4
FFF,Buy,910,244
TTT,Sell,180,1320.7
AAA,Buy,740,1202.6
FFF,Buy,440,248
MDU,Buy,250,1644.5
PPP,Sell,730,950
GGG,Sell,690,600
MDU,Sell,80,1649.1
CGG,Buy,780,1415.9
BBB,Buy,960,457
UUU,Buy,70,674
MMM,Sell,150,1732.7
SSS,Buy,670,876
EEE,Sell,860,1310
TQM,Buy,560,1080
SSS,Sell,480,887
EEE,Sell,870,1295.7
DLH,Buy,770,172
BBB,Sell,50,467
HRT,Sell,470,914
FFF,Buy,360,249
SSS,Buy,470,861
MMM,Buy,240,1680.9
TQM,Sell,900,1066.6
VVV,Buy,570,1432.1
GKH,Sell,170,1341.9
TQM,Buy,590,1056.6
FFF,Sell,150,248
FFF,Sell,790,248
EEE,Sell,410,1325
EEE,Buy,160,1314.2
HSW,Sell,880,1062.1
NEH,Buy,490,516
RRR,Sell,640,113
JJJ,Sell,310,745
TTT,Buy,870,1328
VVV,Buy,170,1413.5
DLH,Buy,180,174
DLH,Sell,610,176
TTT,Sell,800,1337.5
PPP,Sell,290,954
HSW,Sell,530,1057.7
RRR,Sell,140,112
UUU,Sell,650,682
GGG,Sell,400,580
BBB,Sell,580,464
HSW,Buy,170,1051.1
FVD,Sell,180,657
RRR,Sell,530,113
CCC,Buy,290,1242.1
SSS,Buy,610,853
TQM,Sell,860,1057.5
HRT,Sell,810,916
BBB,Buy,220,473
TQM,Buy,860,1070.6
QQQ,Sell,550,1645.3
HSW,Buy,780,1072.2
SSS,Sell,450,876
AAA,Sell,430,1223.5
YYY,Sell,380,62
BBB,Buy,80,465
XXX,Sell,70,1346.7
BBB,Sell,60,468
AAA,Sell,450,1196.1
AAA,Sell,830,1225.8
TTT,Buy,960,1333.7
HRT,Buy,270,911
DLH,Buy,810,170
UUU,Sell,330,688
CGG,Buy,840,1432.8
RRR,Sell,80,112
AAA,Sell,850,1194.2
HSW,Sell,500,1063.7
MDU,Sell,500,1626.7
GKH,Buy,460,1324.8
DLH,Sell,950,171
MDU,Sell,200,1625.9
DDD,Sell,220,1590.9
PDB,Buy,70,462
EEE,Sell,670,1325
CGG,Sell,340,1440.5
HRT,Buy,590,910
CGG,Buy,530,1417.5
PPP,Sell,150,968
CCC,Sell,560,1233.7
PDB,Sell,640,465
FFF,Sell,430,243
EEE,Sell,30,1309.9
NEH,Sell,130,526
DLH,Buy,670,175
HSW,Sell,200,1081.6
GGG,Sell,890,596
FVD,Buy,420,666
RRR,Buy,30,115
GGG,Buy,560,594
BBB,Sell,260,463
NNN,Sell,560,629
FFF,Buy,380,243
PDB,Buy,350,467
HSW,Sell,660,1059.6
SSS,Buy,130,878
PDB,Sell,110,472
KKK,Sell,50,1680.2
FFF,Buy,350,246
VVV,Buy,850,1423.8
FVD,Sell,100,658
KKK,Sell,460,1658.3
TQM,Sell,460,1071.9
TQM,Sell,880,1059.7
FFF,Buy,550,246
HRT,Sell,640,909
PPP,Buy,160,944
PPP,Sell,490,956
PDB,Buy,30,447
GKH,Sell,30,1338.2
NEH,Buy,320,508
TTT,Buy,900,1295.3
NEH,Buy,520,512
XXX,Sell,270,1358.8
FVD,Buy,100,658
KKK,Sell,20,1669.7
PDB,Sell,600,464
FFF,Sell,330,246
GGG,Buy,780,590
UUU,Buy,960,682
GGG,Sell,460,590
NNN,Sell,430,627
NEH,Buy,670,520
PPP,Sell,50,964
YYY,Sell,440,61
GGG,Sell,570,589
PDB,Buy,810,461
VVV,Buy,980,1381.2
CGG,Sell,440,1428.4
CCC,Sell,980,1250.5
FFF,Sell,440,243
GKH,Buy,810,1297.5
FVD,Buy,600,647
HRT,Buy,270,899
PDB,Buy,50,465
HSW,Sell,770,1064.8
PPP,Sell,740,950
EEE,Sell,970,1326.6
FFF,Buy,560,245
QQQ,Buy,340,1658
PPP,Buy,100,950
JJJ,Buy,330,747
FVD,Sell,980,657
PDB,Buy,980,468
GGG,Buy,660,587
BBB,Sell,90,460
BBB,Sell,810,467
GKH,Buy,460,1333.3
CCC,Sell,210,1245.4
VVV,Sell,520,1435.1
GKH,Sell,820,1320.4
TTT,Sell,750,1309.4
SSS,Buy,670,868
MMM,Sell,80,1683.1
CGG,Buy,30,1448.1
GGG,Buy,590,589
TQM,Buy,760,1070.8
CCC,Buy,470,1232.6
FFF,Buy,820,247
FVD,Sell,600,668
RRR,Sell,670,114
QQQ,Sell,830,1660.5
HSW,Sell,500,1049
TTT,Sell,460,1334.1
CCC,Buy,350,1240.8
EEE,Buy,800,1340.8
MDU,Buy,730,1668.4
PPP,Sell,870,940
PDB,Sell,470,467
TQM,Buy,240,1071.7
BBB,Sell,240,466
FVD,Sell,300,656
SSS,Sell,530,872
TQM,Buy,340,1070.4
NNN,Sell,180,629
VVV,Buy,430,1405.2
VVV,Buy,270,1409.4
RRR,Sell,880,115
FVD,Buy,580,659
GGG,Buy,90,590
BBB,Buy,390,461
UUU,Buy,80,688
VVV,Sell,290,1406.5
GKH,Buy,440,1321.1
BBB,Buy,350,470
DLH,Buy,310,175
MDU,Buy,870,1637
KKK,Sell,740,1668
AAA,Buy,270,1199.5
SSS,Buy,840,871
PPP,Sell,390,951
DLH,Buy,480,171
DLH,Buy,840,174
CGG,Buy,250,1412.8
BBB,Sell,300,464
JJJ,Buy,520,734
GKH,Sell,860,1327.3
PDB,Sell,890,463
GGG,Sell,810,596
FFF,Sell,450,248
PPP,Buy,60,947
EEE,Sell,10,1308.1
PDB,Sell,40,465
VVV,Sell,130,1413.5
GKH,Sell,370,1348.8
TTT,Buy,360,1323.5
BBB,Buy,600,464
CCC,Buy,50,1224.1
BBB,Buy,440,464
TTT,Sell,80,1316.6
RRR,Buy,590,114
UUU,Buy,910,691
YYY,Sell,730,62
PPP,Sell,550,944
SSS,Sell,90,861
VVV,Sell,980,1403.6
DLH,Sell,760,172
GKH,Sell,880,1335.5
GGG,Sell,710,583
TQM,Buy,570,1059.4
HRT,Buy,830,903
TQM,Sell,430,1062.8
EEE,Sell,20,1328
VVV,Buy,560,1401.3
KKK,Sell,630,1686.9
AAA,Sell,680,1222.9
MMM,Sell,650,1695.9
FFF,Buy,860,243
VVV,Sell,10,1410.6
FVD,Buy,370,659
HRT,Sell,500,913
PPP,Sell,580,944
VVV,Sell,180,1416.9
NEH,Sell,20,520
FVD,Buy,870,666
RRR,Buy,970,115
PDB,Buy,880,469
FFF,Sell,820,245
TQM,Sell,360,1064.2
AAA,Sell,440,1237.3
NNN,Sell,760,629
BBB,Sell,630,472
YYY,Sell,180,62
GGG,Sell,610,582
VVV,Buy,180,1418.3
CCC,Sell,230,1232.8
VVV,Sell,700,1398.6
CGG,Buy,450,1421.4
GKH,Buy,770,1301.2
FFF,Sell,470,245
VVV,Buy,140,1384
HRT,Sell,840,903
FFF,Buy,20,246
PPP,Buy,60,943
VVV,Buy,210,1429.9
EEE,Sell,630,1316.1
UUU,Sell,830,694
UUU,Buy,50,681
DLH,Buy,480,174
NEH,Sell,960,513
VVV,Buy,120,1386.3
FFF,Buy,480,250
NEH,Buy,990,509
PDB,Sell,390,463
UUU,Sell,780,675
YYY,Sell,530,61
UUU,Sell,430,681
AAA,Buy,540,1218.2
RRR,Sell,370,112
DLH,Buy,940,171
HSW,Sell,680,1078.1
NNN,Sell,450,614
FVD,Sell,630,649
TQM,Sell,970,1048.8
NEH,Buy,740,517
FFF,Buy,310,246
AAA,Buy,780,1227.1
HRT,Buy,720,915
TQM,Buy,900,1047.4
SSS,Sell,240,863
FFF,Buy,980,250
TTT,Buy,230,1311.5
PPP,Sell,180,950
HSW,Buy,840,1070.9
FFF,Sell,160,246
GKH,Buy,850,1332.2
WWW,Sell,430,1522.7
CCC,Buy,240,1241.7
JJJ,Sell,770,744
NEH,Sell,350,513
TTT,Buy,430,1329.9
NNN,Sell,440,626
TTT,Sell,370,1327.3
EEE,Buy,550,1342.7
CCC,Buy,430,1252.7
BBB,Buy,440,468
GKH,Sell,200,1338.6
EEE,Sell,300,1336.9
PDB,Sell,750,458
CCC,Buy,910,1255.9
AAA,Buy,80,1211.7
FFF,Buy,430,247
FFF,Sell,50,244
TTT,Sell,280,1309.3
YYY,Sell,30,61
DLH,Buy,50,179
HSW,Sell,360,1085.7
CCC,Buy,850,1229.6
HRT,Buy,470,911
CCC,Buy,160,1223.5
GKH,Buy,560,1321.4
VVV,Buy,210,1426.8
MMM,Buy,630,1713.9
JJJ,Sell,220,728
RRR,Sell,280,113
MMM,Sell,910,1677.7
MDU,Sell,520,1643.9
MMM,Sell,400,1696.4
FFF,Buy,440,243
NNN,Buy,360,643
VVV,Buy,990,1419.4
GGG,Buy,20,589
CGG,Sell,460,1400.9
NNN,Sell,200,642
AAA,Sell,350,1207.6
DLH,Sell,200,173
CCC,Sell,920,1226.9
UUU,Buy,120,682
TTT,Buy,450,1304.3
HSW,Buy,280,1050.8
VVV,Buy,200,1406.3
HSW,Sell,730,1062.2
MDU,Sell,440,1651.6
PPP,Buy,250,967
TQM,Sell,40,1068
RRR,Sell,310,113
HRT,Buy,470,910
DLH,Sell,500,174
PDB,Sell,960,461
EEE,Sell,600,1321.1
TTT,Sell,320,1312.2
JJJ,Sell,80,733
SSS,Buy,330,884
GGG,Buy,490,588
RRR,Buy,70,114
CCC,Sell,120,1218.1
EEE,Buy,320,1331.8
FFF,Buy,170,247
DLH,Buy,160,174
KKK,Buy,550,1665.4
KKK,Sell,890,1686.9
CCC,Sell,560,1231.1
GGG,Sell,800,595
YYY,Buy,310,61
CCC,Buy,390,1277.3
EEE,Sell,70,1337.6
PDB,Sell,370,463
EEE,Sell,20,1334.2
VVV,Buy,370,1413.8
CCC,Sell,360,1243.9
FFF,Buy,150,247
WWW,Buy,920,1503.8
AAA,Buy,750,1219.6
FFF,Sell,840,247
CCC,Buy,600,1238.9
TTT,Buy,560,1332.4
YYY,Buy,230,61
CGG,Sell,110,1434.3
NEH,Sell,800,517
HRT,Sell,930,910
GKH,Buy,730,1334.3
GKH,Sell,170,1333.7
AAA,Buy,370,1231.7
FFF,Sell,30,247
SSS,Sell,440,873
HRT,Buy,290,898
CGG,Buy,640,1451.5
JJJ,Buy,220,729
NEH,Buy,20,515
MMM,Buy,60,1700.8
CCC,Sell,910,1253.6
TTT,Sell,650,1318.1
RRR,Sell,940,115
GKH,Sell,840,1337.1
NEH,Buy,920,515
TTT,Buy,100,1320.4
NNN,Buy,110,636
BBB,Buy,870,470
YYY,Buy,20,61
FFF,Sell,350,252
DLH,Buy,160,178
CCC,Buy,280,1252.9
FFF,Buy,270,249
PDB,Sell,30,467
VVV,Buy,640,1440.4
PDB,Buy,660,465
MDU,Buy,980,1613.3
BBB,Buy,630,469
JJJ,Sell,740,733
FVD,Buy,110,654
TTT,Buy,460,1304.9
VVV,Sell,830,1393.2
HRT,Sell,310,912
BBB,Sell,610,471
PPP,Sell,340,954
TTT,Buy,480,1323.3
GGG,Sell,10,579
RRR,Sell,330,114
TTT,Buy,360,1335.5
PPP,Sell,40,953
BBB,Buy,560,474
TQM,Sell,520,1057.6
PPP,Buy,810,954
BBB,Sell,140,458
FFF,Sell,120,245
VVV,Sell,970,1422.6
CGG,Sell,890,1433.5
CCC,Buy,430,1235.2
TQM,Sell,40,1067.8
GKH,Sell,620,1356.6
DLH,Sell,550,176
AAA,Sell,470,1189.7
BBB,Sell,120,461
CGG,Sell,360,1433.6
BBB,Sell,40,463
NEH,Buy,180,521
GGG,Buy,990,574
CCC,Buy,90,1252.6
FFF,Buy,770,247
SSS,Sell,160,865
BBB,Sell,730,465
SSS,Sell,650,874
VVV,Sell,860,1433.4
NNN,Buy,250,623
AAA,Sell,610,1207.9
CCC,Sell,30,1243
GKH,Sell,690,1302.5
HRT,Sell,410,909
AAA,Buy,30,1214.6
YYY,Buy,400,61
GGG,Buy,780,597
MMM,Buy,920,1699.5
HRT,Sell,630,907
GGG,Buy,970,586
GKH,Sell,250,1323.9
PDB,Sell,900,470
TTT,Buy,60,1331.9
YYY,Buy,520,61
PDB,Buy,920,469
GGG,Sell,370,584
CCC,Buy,530,1240.2
DLH,Buy,220,172
TTT,Buy,250,1319.1
GKH,Buy,790,1341.5
KKK,Buy,510,1690
PPP,Buy,660,960
EEE,Sell,50,1314.9
DDD,Buy,60,1601.9
HRT,Buy,830,908
CCC,Sell,310,1250.1
BBB,Sell,160,458
CCC,Sell,10,1237.2
CCC,Buy,140,1256.4
FVD,Buy,800,655
GKH,Buy,200,1322.9
HRT,Sell,90,919
CGG,Sell,590,1427
FFF,Buy,70,245
YYY,Buy,190,61
FFF,Buy,370,247
GGG,Buy,530,578
EEE,Sell,640,1325.6
TQM,Buy,760,1058.3
FFF,Sell,890,246
PDB,Sell,460,468
TQM,Buy,740,1045.9
FFF,Sell,670,248
NEH,Sell,850,515
EEE,Sell,620,1329.7
UUU,Buy,770,680
VVV,Sell,610,1397.2
PDB,Buy,640,466
GKH,Buy,510,1340.2
CCC,Buy,140,1261.1
PDB,Sell,90,468
PPP,Buy,440,952
JJJ,Buy,340,731
FFF,Buy,580,249
GKH,Buy,480,1338.2
VVV,Sell,510,1417.2
GGG,Sell,630,594
GGG,Buy,320,587
MMM,Sell,420,1679.3
PPP,Sell,730,958
TTT,Buy,240,1324.6
FFF,Sell,40,250
VVV,Buy,890,1407.3
VVV,Buy,710,1421.8
PDB,Sell,400,461
VVV,Sell,20,1421.7
SSS,Sell,750,887
CCC,Sell,970,1207
RRR,Sell,120,116
RRR,Buy,610,116
PPP,Sell,350,941
CGG,Buy,470,1409.8
NNN,Sell,630,620
HHH,Buy,440,1902.4
SSS,Buy,180,879
MDU,Sell,160,1617.7
TQM,Sell,540,1067.2
BBB,Buy,560,462
BBB,Buy,230,464
SSS,Sell,240,869
PDB,Sell,610,463
BBB,Buy,520,469
PDB,Sell,760,461
KKK,Buy,550,1661.9
GGG,Buy,550,591
GGG,Sell,900,588
CCC,Buy,40,1238.3
PPP,Buy,300,948
NEH,Buy,600,508
TTT,Sell,60,1274.6
NEH,Buy,230,523
CGG,Sell,70,1430
PDB,Sell,560,464
NEH,Sell,90,509
GGG,Buy,680,586
PPP,Sell,750,947
CCC,Sell,740,1253
VVV,Buy,410,1434.9
KKK,Buy,240,1669.8
HRT,Buy,510,944
TTT,Buy,330,1303.6
PDB,Sell,870,461
GKH,Buy,870,1344.4
PPP,Sell,610,956
GGG,Sell,90,594
PPP,Buy,430,955
EEE,Sell,680,1336.2
KKK,Buy,440,1661.7
FFF,Sell,30,245
TQM,Buy,540,1054.7
RRR,Sell,940,114
PDB,Sell,420,469
SSS,Buy,480,875
RRR,Buy,380,113
GGG,Sell,480,602
PDB,Buy,460,467
RRR,Buy,10,114
MDU,Buy,740,1637.3
PDB,Sell,330,458
HRT,Buy,860,919
HRT,Sell,860,929
GGG,Sell,790,590
HRT,Buy,790,914
KKK,Buy,770,1671.3
TTT,Buy,370,1331.6
MDU,Sell,230,1657.2
AAA,Sell,920,1211.6
BBB,Sell,970,463
NEH,Sell,540,520
NEH,Sell,460,513
GKH,Sell,600,1334.7
GKH,Sell,590,1334.2
CGG,Buy,670,1422.6
MMM,Sell,730,1713.7
HHH,Buy,530,1925.2
CCC,Buy,100,1243.8
DLH,Buy,210,175
PPP,Buy,130,952
HRT,Sell,230,904
PDB,Buy,870,469
FFF,Buy,330,246
FFF,Sell,420,246
FFF,Sell,640,250
TTT,Buy,190,1319.3
FVD,Sell,850,656
AAA,Sell,240,1202.1
BBB,Sell,930,467
CCC,Buy,670,1228.6
VVV,Sell,10,1386.5
FVD,Buy,660,658
HSW,Buy,960,1073.3
DLH,Sell,150,171
TTT,Buy,890,1335.8
NEH,Buy,820,511
SSS,Sell,780,864
NEH,Buy,790,520
FFF,Sell,370,242
MMM,Buy,40,1680.1
FVD,Sell,570,661
CGG,Sell,890,1427.6
DLH,Buy,980,173
FFF,Buy,140,246
TTT,Sell,400,1320.6
UUU,Buy,100,687
KKK,Buy,910,1679.3
RRR,Buy,800,112
TTT,Buy,190,1312.2
CGG,Sell,150,1417.3
GKH,Buy,570,1327.4
BBB,Buy,30,469
EEE,Sell,90,1327
EEE,Sell,970,1328.1
TTT,Buy,590,1330.8
DLH,Buy,210,174
HRT,Buy,840,921
VVV,Buy,400,1419.4
BBB,Sell,490,468
HRT,Buy,610,928
EEE,Sell,510,1327.1
XXX,Buy,860,1342
UUU,Buy,430,687
FFF,Sell,510,249
CCC,Buy,790,1250.1
GGG,Sell,50,591
DLH,Buy,360,173
HRT,Sell,860,925
DLH,Buy,370,175
DDD,Buy,80,1559.8
CCC,Sell,880,1244.6
GGG,Sell,820,598
BBB,Sell,370,467
UUU,Sell,670,684
SSS,Buy,100,875
EEE,Buy,710,1325.5
TTT,Sell,650,1333.1
PDB,Buy,260,471
AAA,Buy,500,1192.2
VVV,Sell,330,1421.9
TQM,Buy,930,1089.4
EEE,Buy,860,1315.9
FFF,Buy,140,247
EEE,Sell,400,1326.9
PPP,Buy,590,973
CCC,Sell,430,1233
GKH,Sell,280,1315.5
KKK,Buy,970,1665.9
MDU,Buy,290,1636.3
MDU,Buy,720,1639.8
TTT,Buy,880,1295.5
TTT,Buy,710,1320.2
CCC,Sell,650,1238
FVD,Sell,400,658
NEH,Buy,350,506
NEH,Buy,260,514
CCC,Sell,410,1245.7
EEE,Buy,860,1324.3
FFF,Sell,790,248
VVV,Buy,930,1415.8
HHH,Sell,380,1883
SSS,Sell,450,870
HRT,Sell,340,910
TTT,Buy,590,1345.7
TTT,Sell,220,1326.8
BBB,Buy,380,471
GGG,Buy,360,598
DLH,Sell,330,172
HRT,Sell,480,920
PPP,Buy,630,961
FFF,Buy,770,247
BBB,Sell,810,462
HRT,Buy,270,889
GKH,Buy,780,1340.9
PPP,Buy,590,937
SSS,Sell,120,883
GKH,Buy,900,1309.5
VVV,Buy,200,1409.5
VVV,Buy,330,1408.2
VVV,Sell,720,1417.1
AAA,Buy,660,1222.2
YYY,Sell,470,62
KKK,Sell,210,1660.9
EEE,Sell,330,1319
TTT,Buy,110,1336.2
HRT,Sell,70,920
RRR,Sell,610,114
CCC,Buy,700,1267.3
VVV,Buy,60,1413.6
TQM,Buy,120,1061.2
MMM,Sell,20,1687.2
FFF,Buy,500,247
KKK,Buy,400,1672.5
CCC,Sell,600,1241.4
CCC,Buy,550,1244.5
PPP,Buy,750,955
TTT,Buy,60,1303
YYY,Buy,250,61
NEH,Buy,500,504
AAA,Buy,30,1202.7
VVV,Sell,650,1420.4
PPP,Sell,590,928
EEE,Sell,760,1333.9
GGG,Sell,980,591
TTT,Buy,820,1322.1
CCC,Sell,240,1255.1
SSS,Buy,140,863
MDU,Sell,640,1639.4
SSS,Sell,690,887
DDD,Buy,140,1572.2
TQM,Buy,930,1064.7
HRT,Sell,150,904
FFF,Buy,780,250
CCC,Sell,180,1241.7
VVV,Sell,590,1412.9
MDU,Sell,530,1652.3
GKH,Buy,590,1332.9
PDB,Buy,470,470
CCC,Buy,680,1219.9
CCC,Sell,150,1248.6
MMM,Buy,560,1683.7
VVV,Buy,430,1379.4
HRT,Buy,280,911
FFF,Buy,370,246
TQM,Sell,300,1075.4
GGG,Sell,340,579
JJJ,Buy,220,734
SSS,Sell,880,869
NEH,Sell,240,515
PDB,Sell,250,463
GGG,Sell,820,584
CCC,Buy,460,1253.3
SSS,Buy,860,869
GKH,Buy,930,1351.6
NEH,Sell,380,516
NEH,Sell,450,513
